1.000000,901716.787303,274941.617696,2.541299
2.000000,901732.055101,274937.821974,1.441391
3.000000,901723.619448,274940.759960,1.980333
4.000000,901734.855913,274955.199848,1.092265
5.000000,901733.716221,274947.729589,1.203320
6.000000,901716.819176,274949.388090,2.417238
7.000000,901722.448311,274961.499479,1.602165
8.000000,901726.481125,274965.077616,1.380153
9.000000,901724.135487,274950.373631,1.720260
10.000000,901716.189829,274954.619963,2.393194
11.000000,901722.630246,274956.298480,1.691207
12.000000,901731.155206,274965.974459,1.112165
99.000000,902335.438000,274787.796000,7.420000

