1.000000,901894.382383,274612.503098,1.193560
2.000000,901885.043168,274605.835670,1.539575
3.000000,901887.885913,274586.529830,1.719734
4.000000,901900.717780,274600.823416,1.037674
5.000000,901901.501059,274568.689225,1.908922
6.000000,901926.840207,274489.762891,1.376621
7.000000,901934.693512,274496.128558,0.501603
8.000000,901934.461425,274486.094531,0.757678
9.000000,901928.690511,274496.886733,1.053574
10.000000,901936.284391,274489.903463,0.522656
11.000000,901939.828164,274483.548044,0.442718
12.000000,901931.849130,274483.796295,1.130685
13.000000,901929.208957,274492.709291,1.074608
14.000000,901928.800332,274485.509433,1.360661
15.000000,901931.121050,274488.191136,1.010649
16.000000,901937.700343,274495.614199,0.282618
17.000000,901936.054172,274500.999265,0.281571
18.000000,901931.142975,274496.205446,0.803588
19.000000,901925.216541,274496.522042,1.362563
20.000000,901924.953810,274491.902680,1.497598
21.000000,901926.927593,274487.452048,1.401639
22.000000,901933.075901,274491.765690,0.731630
99.000000,902335.438000,274787.796000,7.420000
