1.000000,901731.863050,274905.387143,2.179645
2.000000,901735.980203,274900.202823,1.951703
3.000000,901733.099164,274912.276578,1.875596
4.000000,901725.907538,274911.770288,2.603571
5.000000,901725.861666,274932.116979,1.926411
6.000000,901717.432420,274953.942318,1.973204
7.000000,901720.768246,274934.297279,2.260373
8.000000,901724.143570,274921.969913,2.357483
9.000000,901718.059469,274917.131147,3.368497
10.000000,901713.452958,274925.278191,3.927414
11.000000,901722.391529,274940.961797,1.949327
12.000000,901711.323756,274938.030483,3.181305
13.000000,901710.922996,274947.855065,2.818226
14.000000,901715.683631,274945.612797,2.411263
99.000000,902335.438000,274787.796000,7.420000
